id,agrupador,servicio_web,version
1,1,1,0
2,1,2,0
3,1,3,0
4,1,4,0
5,1,5,0
6,1,85,0
7,1,7,0
8,1,8,0
9,1,9,0
10,1,10,0
11,1,11,0
12,1,12,0
13,1,13,0
14,1,14,0
15,1,15,0
16,1,16,0
17,1,17,0
18,1,18,0
19,2,19,0
20,2,20,0
21,2,21,0
22,2,22,0
23,2,23,0
24,2,24,0
25,2,25,0
26,2,26,0
27,2,27,0
28,2,28,0
29,2,29,0
30,2,30,0
31,2,31,0
32,3,32,0
33,3,33,0
34,3,34,0
35,3,35,0
36,3,36,0
37,3,37,0
38,3,38,0
39,3,39,0
40,3,40,0
41,3,41,0
42,3,42,0
43,3,43,0
44,3,44,0
45,3,45,0
46,4,46,0
47,5,47,0
48,6,48,0
49,7,49,0
50,8,50,0
51,8,51,0
52,9,52,0
53,10,53,0
54,10,54,0
55,10,55,0
56,10,56,0
57,10,57,0
58,10,58,0
59,10,59,0
60,10,60,0
61,10,61,0
62,10,62,0
63,10,63,0
64,10,64,0
65,10,65,0
66,10,66,0
67,10,67,0
68,10,68,0
69,10,69,0
70,10,70,0
71,10,71,0
72,11,72,0
73,12,73,0
74,12,74,0
75,12,75,0
76,12,76,0
77,12,77,0
78,13,78,0
79,13,79,0
80,13,80,0
81,13,81,0
82,14,82,0
83,15,2,0
84,15,3,0
85,16,36,0
86,16,37,0
87,16,41,0
88,16,35,0
89,16,39,0
90,16,38,0
91,16,34,0
92,16,32,0
93,16,42,0
94,17,84,0
95,17,5,0
96,18,5,0
97,18,1,0
98,19,6,0
